の/する,15965
日/する,13535
今日/する,8780
中/する,8726
の/寝る,8706
さん/する,8131
日/寝る,7407
私/する,6559
昨日/する,6483
そう/する,6170
の/てる,6146
娘/する,5666
前/する,5252
日/てる,5251
枚/する,5203
今日/寝る,4792
中/寝る,4740
の/いる,4705
よう/する,4560
今年/する,4557
用/する,4537
さん/寝る,4506
これ/する,4412
星/する,4071
方/する,3990
日/いる,3958
次/する,3847
夜/する,3826
１/する,3662
会/する,3660
布団/する,3608
昨日/寝る,3543
私/寝る,3540
風邪/する,3532
ん/する,3506
最後/する,3419
今日/てる,3397
仕事/する,3366
そう/寝る,3350
中/てる,3335
さん/てる,3252
車/する,3155
時間/する,3135
咳/する,3062
娘/寝る,3048
こと/する,2917
枚/寝る,2885
の/こらえる,2872
前/寝る,2857
時/する,2829
の/なる,2763
帰宅/する,2757
とき/する,2717
汗/する,2702
事/する,2690
帰り/する,2684
皆さん/する,2659
写真/する,2628
中/いる,2594
午前/する,2580
今日/いる,2578
才/する,2510
プレゼント/する,2507
昨日/てる,2502
私/てる,2473
用/寝る,2464
一/する,2452
大丈夫/する,2451
よう/寝る,2450
の/くる,2449
今年/寝る,2440
の/れる,2438
これ/寝る,2424
の/しまう,2380
そう/てる,2379
の/入る,2376
さん/いる,2364
日/こらえる,2363
日/なる,2343
３/する,2333
ちゃん/する,2313
元気/する,2297
星/寝る,2274
いま/する,2265
安心/する,2261
２/する,2261
夢/する,2209
クリスマス/する,2192
の/ある,2145
娘/てる,2134
方/寝る,2132
次/寝る,2110
みたい/する,2103
夜/寝る,2102
の/ちる,2086
枚/てる,2064
日/れる,2058
日/くる,2038
前/てる,2035
１/寝る,2029
朝/する,2007
会/寝る,2006
布団/寝る,1985
日/しまう,1978
あと/する,1953
私/いる,1951
今/する,1948
日/入る,1944
昨日/いる,1925
気持ち/する,1915
風邪/寝る,1906
ん/寝る,1884
色/する,1881
最後/寝る,1851
ため/する,1850
日/ある,1831
の/眠れる,1822
仕事/寝る,1813
の/堪える,1809
新た/する,1806
去年/する,1806
そう/いる,1804
日/ちる,1803
せい/する,1784
二/する,1740
用/てる,1735
これ/てる,1732
車/寝る,1726
時間/寝る,1705
よう/てる,1699
の/思う,1699
今年/てる,1692
日本/する,1680
娘/いる,1669
雨/する,1658
星/てる,1650
咳/寝る,1638
たくさん/する,1603
中/こらえる,1602
日/眠れる,1597
うち/する,1588
日/堪える,1584
シャンプー/する,1580
こと/寝る,1570
時/寝る,1537
の/くれる,1535
状態/する,1534
今日/こらえる,1531
枚/いる,1528
前/いる,1521
中/なる,1516
今日/なる,1513
次/てる,1502
夜/てる,1502
帰宅/寝る,1498
汗/寝る,1494
とき/寝る,1489
事/寝る,1482
日/思う,1468
方/てる,1458
皆さん/寝る,1452
それ/する,1452
会/てる,1436
１/てる,1430
写真/寝る,1428
帰り/寝る,1423
午前/寝る,1422
布団/てる,1402
さん/なる,1378
プレゼント/寝る,1360
才/寝る,1360
連続/する,1357
感じ/する,1357
寝坊/する,1357
弁当/する,1357
毎日/する,1357
準備/する,1357
本音/する,1357
更新/する,1357
大切/する,1357
洗濯/する,1357
連休/する,1357
仕方/する,1357
よう/いる,1355
中/くる,1355
体制/する,1355
今年/いる,1355
同級生/する,1353
スタジオ/する,1353
遊び/する,1353
今度/する,1353
近く/する,1353
久し振り/する,1353
住まい/する,1353
お誘い/する,1353
大変/する,1351
十分/する,1351
あまり/する,1351
ピーク/する,1349
疲労/する,1349
用/いる,1346
風邪/てる,1343
涙/する,1340
中/れる,1339
杉/する,1337
ファン/する,1337
大勢/する,1337
会場/する,1337
釘/する,1337
甲斐/する,1337
お客/する,1337
天気/する,1334
大丈夫/寝る,1333
今日/れる,1332
今日/くる,1323
５/する,1323
はるか/する,1322
濃厚/する,1322
ん/てる,1321
女子/する,1318
心/する,1318
一/寝る,1318
中/入る,1317
中/しまう,1315
トナカイ/する,1314
ままごと/する,1314
ツリー/する,1314
泣き/する,1314
キッチン/する,1314
パーティ/する,1314
カチューシャ/する,1314
恐怖/する,1309
ヘルメット/する,1309
最後/てる,1306
さん/こらえる,1306
お昼/する,1304
公式/する,1298
愛菜/する,1298
３/寝る,1298
サイト/する,1298
ドラマ/する,1298
真剣/する,1298
福本/する,1298
佑/する,1298
年の瀬/する,1292
今日/しまう,1292
胃腸/する,1292
正月/する,1292
これ/いる,1289
型/する,1278
妖艶/する,1278
気品/する,1278
紫/する,1278
財布/する,1278
長/する,1278
作品/する,1278
仕事/てる,1274
今日/入る,1269
の/減る,1265
世界/する,1263
いっぱい/する,1263
料理/する,1263
カメラ/する,1263
教室/する,1263
日/くれる,1261
率/する,1255
リンク/する,1255
思い出/する,1255
まま/する,1255
チャンス/する,1255
上記/する,1255
ごろ/する,1255
息子/する,1247
ミルク/する,1247
いま/寝る,1239
